"구·군별","내외국인별","시점","세대수[세대]","인구[명]","남자인구[명]","여자인구[명]",
"대청동","총인구","2024.05 월","3429","5818","2766","3052",
"대청동","총인구","2024.06 월","3433","5816","2764","3052",
"대청동","총인구","2024.07 월","3428","5798","2750","3048",
"대청동","총인구","2024.08 월","3433","5790","2753","3037",
"대청동","총인구","2024.09 월","3433","5781","2743","3038",
"대청동","총인구","2024.10 월","3423","5759","2738","3021",
"대청동","총인구","2024.11 월","3413","5747","2729","3018",
"대청동","총인구","2024.12 월","3414","5751","2733","3018",
"보수동","총인구","2020.01 월","5768","10975","5343","5632",
"보수동","총인구","2020.02 월","5774","10959","5318","5641",
"보수동","총인구","2020.03 월","5779","10951","5312","5639",
"보수동","총인구","2020.04 월","5784","10945","5326","5619",
"보수동","총인구","2020.05 월","5781","10944","5327","5617",
"보수동","총인구","2020.06 월","5775","10893","5293","5600",
"보수동","총인구","2020.07 월","5788","10876","5280","5596",
"보수동","총인구","2020.08 월","5810","10892","5282","5610",
"보수동","총인구","2020.09 월","5830","10887","5273","5614",
"보수동","총인구","2020.10 월","5844","10878","5264","5614",
"보수동","총인구","2020.11 월","5877","10924","5286","5638",
"보수동","총인구","2020.12 월","5896","10934","5281","5653",
"보수동","총인구","2021.01 월","5922","10955","5286","5669",
"보수동","총인구","2021.02 월","5944","10978","5291","5687",
"보수동","총인구","2021.03 월","5983","11019","5319","5700",
"보수동","총인구","2021.04 월","5972","10964","5289","5675",
"보수동","총인구","2021.05 월","5970","10942","5268","5674",
"보수동","총인구","2021.06 월","5908","10868","5242","5626",
"보수동","총인구","2021.07 월","5926","10880","5244","5636",
"보수동","총인구","2021.08 월","5927","10853","5235","5618",
"보수동","총인구","2021.09 월","5941","10844","5224","5620",
"보수동","총인구","2021.10 월","5955","10840","5218","5622",
"보수동","총인구","2021.11 월","5954","10798","5196","5602",
"보수동","총인구","2021.12 월","5953","10760","5169","5591",
"보수동","총인구","2022.01 월","5943","10740","5166","5574",
"보수동","총인구","2022.02 월","5995","10757","5170","5587",
"보수동","총인구","2022.03 월","6017","10761","5165","5596",
"보수동","총인구","2022.04 월","6029","10756","5165","5591",
"보수동","총인구","2022.05 월","6043","10762","5165","5597",
"보수동","총인구","2022.06 월","6041","10747","5150","5597",
"보수동","총인구","2022.07 월","6035","10726","5144","5582",
"보수동","총인구","2022.08 월","6029","10713","5130","5583",
"보수동","총인구","2022.09 월","5988","10690","5121","5569",
"보수동","총인구","2022.10 월","5981","10633","5085","5548",
"보수동","총인구","2022.11 월","5969","10604","5077","5527",
"보수동","총인구","2022.12 월","5971","10606","5068","5538",
"보수동","총인구","2023.01 월","6011","10640","5065","5575",
"보수동","총인구","2023.02 월","6124","10757","5104","5653",
"보수동","총인구","2023.03 월","6139","10746","5090","5656",
"보수동","총인구","2023.04 월","6136","10727","5081","5646",
"보수동","총인구","2023.05 월","6143","10725","5074","5651",
"보수동","총인구","2023.06 월","6140","10707","5066","5641",
"보수동","총인구","2023.07 월","6124","10663","5041","5622",
"보수동","총인구","2023.08 월","6129","10687","5047","5640",
"보수동","총인구","2023.09 월","6124","10678","5048","5630",
"보수동","총인구","2023.10 월","6118","10662","5041","5621",
"보수동","총인구","2023.11 월","6114","10633","5028","5605",
"보수동","총인구","2023.12 월","6136","10668","5045","5623",
"보수동","총인구","2024.01 월","6132","10629","5036","5593",
"보수동","총인구","2024.02 월","6193","10707","5048","5659",
"보수동","총인구","2024.03 월","6180","10693","5043","5650",
"보수동","총인구","2024.04 월","6175","10660","5041","5619",
"보수동","총인구","2024.05 월","6180","10655","5019","5636",
"보수동","총인구","2024.06 월","6185","10636","5015","5621",
"보수동","총인구","2024.07 월","6179","10609","5002","5607",
"보수동","총인구","2024.08 월","6170","10587","4984","5603",
"보수동","총인구","2024.09 월","6178","10582","4971","5611",
"보수동","총인구","2024.10 월","6166","10537","4942","5595",
"보수동","총인구","2024.11 월","6142","10496","4928","5568",
"보수동","총인구","2024.12 월","6130","10478","4921","5557",
"부평동","총인구","2020.01 월","2678","4977","2341","2636",
"부평동","총인구","2020.02 월","2691","4957","2325","2632",
"부평동","총인구","2020.03 월","2701","4948","2344","2604",
"부평동","총인구","2020.04 월","2700","4950","2339","2611",
"부평동","총인구","2020.05 월","2713","4901","2323","2578",
"부평동","총인구","2020.06 월","2725","4904","2321","2583",
"부평동","총인구","2020.07 월","2734","4930","2329","2601",
"부평동","총인구","2020.08 월","2739","4907","2315","2592",
"부평동","총인구","2020.09 월","2737","4867","2295","2572",
"부평동","총인구","2020.10 월","2743","4903","2301","2602",
"부평동","총인구","2020.11 월","2746","4883","2293","2590",
"부평동","총인구","2020.12 월","2767","4889","2312","2577",
"부평동","총인구","2021.01 월","2772","4936","2318","2618",
"부평동","총인구","2021.02 월","2804","4921","2320","2601",
"부평동","총인구","2021.03 월","2800","4914","2313","2601",
"부평동","총인구","2021.04 월","2815","4929","2313","2616",
"부평동","총인구","2021.05 월","2826","4893","2308","2585",
"부평동","총인구","2021.06 월","2718","4710","2217","2493",
"부평동","총인구","2021.07 월","2735","4738","2237","2501",
"부평동","총인구","2021.08 월","2743","4717","2231","2486",
"부평동","총인구","2021.09 월","2748","4725","2242","2483",
"부평동","총인구","2021.10 월","2750","4729","2238","2491",
"부평동","총인구","2021.11 월","2754","4709","2230","2479",
"부평동","총인구","2021.12 월","2745","4711","2238","2473",
"부평동","총인구","2022.01 월","2746","4715","2234","2481",
"부평동","총인구","2022.02 월","2767","4718","2237","2481",
"부평동","총인구","2022.03 월","2771","4759","2243","2516",
"부평동","총인구","2022.04 월","2769","4755","2234","2521",
"부평동","총인구","2022.05 월","2772","4683","2210","2473",
"부평동","총인구","2022.06 월","2763","4726","2233","2493",
"부평동","총인구","2022.07 월","2748","4708","2226","2482",
"부평동","총인구","2022.08 월","2748","4615","2193","2422",
"부평동","총인구","2022.09 월","2735","4583","2172","2411",
"부평동","총인구","2022.10 월","2732","4631","2186","2445",
"부평동","총인구","2022.11 월","2738","4600","2182","2418",
"부평동","총인구","2022.12 월","2723","4592","2166","2426",
"부평동","총인구","2023.01 월","2720","4634","2178","2456",
"부평동","총인구","2023.02 월","2714","4544","2156","2388",
"부평동","총인구","2023.03 월","2716","4526","2146","2380",
"부평동","총인구","2023.04 월","2699","4644","2158","2486",
"부평동","총인구","2023.05 월","2695","4519","2125","2394",
"부평동","총인구","2023.06 월","2684","4539","2121","2418",
"부평동","총인구","2023.07 월","2678","4576","2129","2447",
"부평동","총인구","2023.08 월","2684","4454","2101","2353",
"부평동","총인구","2023.09 월","2676","4433","2095","2338",
"부평동","총인구","2023.10 월","2669","4561","2135","2426",
"부평동","총인구","2023.11 월","2665","4423","2094","2329",
"부평동","총인구","2023.12 월","2659","4504","2115","2389",
"부평동","총인구","2024.01 월","2641","4577","2145","2432",
"부평동","총인구","2024.02 월","2654","4369","2074","2295",
"부평동","총인구","2024.03 월","2637","4357","2070","2287",
"부평동","총인구","2024.04 월","2631","4539","2108","2431",
"부평동","총인구","2024.05 월","2618","4359","2059","2300",
"부평동","총인구","2024.06 월","2613","4352","2061","2291",
"부평동","총인구","2024.07 월","2608","4411","2077","2334",
"부평동","총인구","2024.08 월","2601","4357","2059","2298",
"부평동","총인구","2024.09 월","2591","4304","2037","2267",
"부평동","총인구","2024.10 월","2588","4412","2063","2349",
"부평동","총인구","2024.11 월","2590","4367","2053","2314",
"부평동","총인구","2024.12 월","2590","4439","2075","2364",
"광복동","총인구","2020.01 월","666","1136","575","561",
"광복동","총인구","2020.02 월","659","1129","579","550",
"광복동","총인구","2020.03 월","653","1117","565","552",
"광복동","총인구","2020.04 월","656","1117","568","549",
"광복동","총인구","2020.05 월","655","1115","573","542",
"광복동","총인구","2020.06 월","656","1113","567","546",
"광복동","총인구","2020.07 월","653","1103","565","538",
"광복동","총인구","2020.08 월","653","1098","561","537",
"광복동","총인구","2020.09 월","655","1099","560","539",
"광복동","총인구","2020.10 월","649","1097","564","533",
"광복동","총인구","2020.11 월","650","1094","562","532",
"광복동","총인구","2020.12 월","646","1089","557","532",
"광복동","총인구","2021.01 월","650","1091","556","535",
"광복동","총인구","2021.02 월","646","1096","560","536",
"광복동","총인구","2021.03 월","647","1097","562","535",
"광복동","총인구","2021.04 월","648","1088","562","526",
"광복동","총인구","2021.05 월","649","1086","562","524",
"광복동","총인구","2021.06 월","615","1040","547","493",
"광복동","총인구","2021.07 월","615","1040","550","490",
"광복동","총인구","2021.08 월","607","1031","540","491",
"광복동","총인구","2021.09 월","597","1020","533","487",
"광복동","총인구","2021.10 월","598","1020","533","487",
"광복동","총인구","2021.11 월","597","1023","537","486",
"광복동","총인구","2021.12 월","593","1021","534","487",
"광복동","총인구","2022.01 월","590","1020","532","488",
"광복동","총인구","2022.02 월","590","1023","537","486",
"광복동","총인구","2022.03 월","584","1013","532","481",
"광복동","총인구","2022.04 월","584","1011","533","478",
"광복동","총인구","2022.05 월","578","1004","532","472",
"광복동","총인구","2022.06 월","577","1014","541","473",
"광복동","총인구","2022.07 월","578","1012","542","470",
"광복동","총인구","2022.08 월","579","1021","545","476",
"광복동","총인구","2022.09 월","569","1010","540","470",
"광복동","총인구","2022.10 월","566","999","533","466",
"광복동","총인구","2022.11 월","565","997","534","463",
"광복동","총인구","2022.12 월","563","1000","536","464",
"광복동","총인구","2023.01 월","559","993","532","461",
"광복동","총인구","2023.02 월","559","986","528","458",
"광복동","총인구","2023.03 월","560","985","528","457",
"광복동","총인구","2023.04 월","561","989","530","459",
"광복동","총인구","2023.05 월","559","980","524","456",
"광복동","총인구","2023.06 월","553","974","516","458",
"광복동","총인구","2023.07 월","555","987","526","461",
"광복동","총인구","2023.08 월","556","989","528","461",
"광복동","총인구","2023.09 월","549","991","530","461",
"광복동","총인구","2023.10 월","550","993","530","463",
"광복동","총인구","2023.11 월","551","996","538","458",
"광복동","총인구","2023.12 월","551","1003","541","462",
"광복동","총인구","2024.01 월","547","991","529","462",
"광복동","총인구","2024.02 월","542","982","524","458",
"광복동","총인구","2024.03 월","543","977","520","457",
"광복동","총인구","2024.04 월","543","976","518","458",
"광복동","총인구","2024.05 월","542","966","513","453",
"광복동","총인구","2024.06 월","539","961","510","451",
"광복동","총인구","2024.07 월","540","964","511","453",
"광복동","총인구","2024.08 월","536","953","505","448",
"광복동","총인구","2024.09 월","539","952","504","448",
"광복동","총인구","2024.10 월","531","947","499","448",
"광복동","총인구","2024.11 월","529","937","498","439",
"광복동","총인구","2024.12 월","526","933","496","437",
"남포동","총인구","2020.01 월","700","1308","817","491",
"남포동","총인구","2020.02 월","693","1307","818","489",
"남포동","총인구","2020.03 월","691","1293","805","488",
"남포동","총인구","2020.04 월","693","1287","798","489",
"남포동","총인구","2020.05 월","690","1274","796","478",
"남포동","총인구","2020.06 월","696","1281","801","480",
