address_gu,gu_pop_ratio,gu_area,gu_density,year,month
부산진구,10.5,29.67,11944,2022,9
동래구,8.2,16.63,16586,2022,9
남구,7.8,26.82,9848,2022,9
북구,8.4,39.37,7169,2022,9
해운대구,11.7,51.54,7657,2022,9
사하구,9.1,41.77,7381,2022,9
금정구,6.7,65.28,3484,2022,9
강서구,4.4,181.5,818,2022,9
연제구,6.1,12.1,17061,2022,9
수영구,5.2,10.22,17257,2022,9
사상구,6.2,36.1,5795,2022,9
기장군,5.3,218.32,824,2022,9
중구,1.3,2.83,14935,2022,10
서구,3.2,13.95,7707,2022,10
동구,2.6,9.87,9039,2022,10
영도구,3.3,14.2,7804,2022,10
부산진구,10.5,29.67,11925,2022,10
동래구,8.2,16.63,16558,2022,10
남구,7.8,26.82,9821,2022,10
북구,8.4,39.37,7165,2022,10
해운대구,11.7,51.54,7628,2022,10
사하구,9.1,41.77,7361,2022,10
금정구,6.7,65.28,3485,2022,10
강서구,4.4,181.5,817,2022,10
연제구,6.1,12.1,17009,2022,10
수영구,5.2,10.22,17228,2022,10
사상구,6.2,36.1,5779,2022,10
기장군,5.3,218.32,826,2022,10
중구,1.2,2.83,14802,2023,5
서구,3.2,13.95,7669,2023,5
동구,2.6,9.87,8897,2023,5
영도구,3.3,14.2,7715,2023,5
부산진구,10.7,29.67,12146,2023,5
동래구,8.2,16.63,16493,2023,5
남구,7.8,26.82,9783,2023,5
북구,8.3,39.37,7098,2023,5
해운대구,11.6,51.54,7555,2023,5
사하구,9.1,41.77,7334,2023,5
금정구,6.7,65.28,3432,2023,5
강서구,4.4,181.5,817,2023,5
연제구,6.1,12.1,16866,2023,5
수영구,5.3,10.22,17345,2023,5
사상구,6.2,36.1,5778,2023,5
기장군,5.4,218.32,832,2023,5
중구,1.2,2.83,14746,2023,6
서구,3.2,13.95,7661,2023,6
동구,2.6,9.87,8890,2023,6
영도구,3.3,14.2,7705,2023,6
부산진구,10.7,29.67,12153,2023,6
동래구,8.2,16.63,16480,2023,6
남구,7.8,26.82,9779,2023,6
북구,8.3,39.37,7088,2023,6
해운대구,11.6,51.54,7550,2023,6
사하구,9.1,41.77,7329,2023,6
금정구,6.7,65.28,3426,2023,6
강서구,4.4,181.5,818,2023,6
연제구,6.1,12.1,16861,2023,6
수영구,5.3,10.22,17355,2023,6
사상구,6.2,36.1,5778,2023,6
기장군,5.4,218.32,833,2023,6
중구,1.2,2.83,14747,2023,7
서구,3.2,13.95,7653,2023,7
