"시점","구군별(1)","연령별(1)",계,남자,여자
"2022.02","중구","65세 이상",11417,4864,6553
"2022.02","서구","65세 이상",27812,11820,15992
"2022.02","동구","65세 이상",24231,10110,14121
"2022.02","영도구","65세 이상",32276,13764,18512
"2022.02","부산진구","65세 이상",73074,31710,41364
"2022.02","동래구","65세 이상",52902,23289,29613
"2022.02","남구","65세 이상",55972,24294,31678
"2022.02","북구","65세 이상",53260,23799,29461
"2022.02","해운대구","65세 이상",74408,32176,42232
"2022.02","사하구","65세 이상",63314,28193,35121
"2022.02","금정구","65세 이상",50885,22225,28660
"2022.02","강서구","65세 이상",18183,8596,9587
"2022.02","연제구","65세 이상",42765,18924,23841
"2022.02","수영구","65세 이상",39454,16999,22455
"2022.02","사상구","65세 이상",41497,18643,22854
"2022.02","기장군","65세 이상",29802,12825,16977
"2022.03","중구","65세 이상",11420,4866,6554
"2022.03","서구","65세 이상",27847,11830,16017
"2022.03","동구","65세 이상",24300,10153,14147
"2022.03","영도구","65세 이상",32338,13791,18547
"2022.03","부산진구","65세 이상",73257,31795,41462
"2022.03","동래구","65세 이상",53216,23431,29785
"2022.03","남구","65세 이상",56174,24354,31820
"2022.03","북구","65세 이상",53502,23905,29597
"2022.03","해운대구","65세 이상",74713,32331,42382
"2022.03","사하구","65세 이상",63633,28323,35310
"2022.03","금정구","65세 이상",51031,22298,28733
"2022.03","강서구","65세 이상",18280,8637,9643
"2022.03","연제구","65세 이상",42974,19002,23972
"2022.03","수영구","65세 이상",39563,17026,22537
"2022.03","사상구","65세 이상",41721,18752,22969
"2022.03","기장군","65세 이상",29970,12910,17060
"2022.04","중구","65세 이상",11446,4868,6578
"2022.04","서구","65세 이상",27881,11847,16034
"2022.04","동구","65세 이상",24327,10167,14160
"2022.04","영도구","65세 이상",32359,13800,18559
"2022.04","부산진구","65세 이상",73427,31839,41588
"2022.04","동래구","65세 이상",53371,23495,29876
"2022.04","남구","65세 이상",56332,24417,31915
"2022.04","북구","65세 이상",53750,24009,29741
"2022.04","해운대구","65세 이상",74870,32430,42440
"2022.04","사하구","65세 이상",63828,28389,35439
"2022.04","금정구","65세 이상",51121,22359,28762
"2022.04","강서구","65세 이상",18348,8667,9681
"2022.04","연제구","65세 이상",43039,19003,24036
"2022.04","수영구","65세 이상",39637,17054,22583
"2022.04","사상구","65세 이상",41802,18790,23012
"2022.04","기장군","65세 이상",30082,12958,17124
"2022.05","중구","65세 이상",11479,4889,6590
"2022.05","서구","65세 이상",27929,11855,16074
"2022.05","동구","65세 이상",24372,10191,14181
"2022.05","영도구","65세 이상",32408,13811,18597
"2022.05","부산진구","65세 이상",73637,31913,41724
"2022.05","동래구","65세 이상",53604,23571,30033
"2022.05","남구","65세 이상",56463,24448,32015
"2022.05","북구","65세 이상",54016,24144,29872
