EMD_CD,EMD_ENG_NM,address_gu,sub_address,EMD_KOR_NM,lat,lon,latitude,longitude
26410101,Dugu-dong,금정구,두구동,두구동,35.291,129.111,35.291428,129.111008
26410102,Nopo-dong,금정구,노포동,노포동,35.29,129.091,35.290111,129.090927
26410103,Cheongnyong-dong,금정구,청룡동,청룡동,35.282,129.07,35.282125,129.069761
26410104,Namsan-dong,금정구,남산동,남산동,35.268,129.081,35.268023,129.080575
26410105,Seon-dong,금정구,선동,선동,35.271,129.113,35.271173,129.11287
26410106,Oryun-dong,금정구,오륜동,오륜동,35.248,129.118,35.248382,129.118451
26410107,Guseo-dong,금정구,구서동,구서동,35.254,129.084,35.254316,129.084152
26410108,Jangjeon-dong,금정구,장전동,장전동,35.235,129.075,35.235281,129.074683
26410109,Bugok-dong,금정구,부곡동,부곡동,35.232,129.096,35.232067,129.095764
26410110,Seo-dong,금정구,서동,서동,35.218,129.103,35.217958,129.103386
26410111,Geumsa-dong,금정구,금사동,금사동,35.221,129.112,35.221087,129.111698
26410112,Hoedong-dong,금정구,회동동,회동동,35.238,129.127,35.237539,129.127337
26410113,Geumseong-dong,금정구,금성동,금성동,35.254,129.054,35.254082,129.05392
26440101,Daejeo 1(il)-dong,강서구,대저1동,대저1동,35.211,128.966,35.211084,128.966085
26440102,Daejeo 2(i)-dong,강서구,대저2동,대저2동,35.16,128.943,35.160483,128.942625
26440103,Gangdong-dong,강서구,강동동,강동동,35.18,128.919,35.180478,128.918633
26440104,Myeongji-dong,강서구,명지동,명지동,35.103,128.913,35.102536,128.913278
26440105,Jungnim-dong,강서구,죽림동,죽림동,35.201,128.9,35.200816,128.899887
26440106,Singman-dong,강서구,식만동,식만동,35.213,128.909,35.212703,128.908806
26440107,Jukdong-dong,강서구,죽동동,죽동동,35.2,128.883,35.199777,128.883419
26440108,Bongnim-dong,강서구,봉림동,봉림동,35.169,128.895,35.168854,128.894636
26440109,Songjeong-dong,강서구,송정동,송정동,35.099,128.847,35.099481,128.847156
26440110,Hwajeon-dong,강서구,화전동,화전동,35.104,128.875,35.104139,128.875037
26440111,Noksan-dong,강서구,녹산동,녹산동,35.117,128.881,35.117137,128.880607
26440112,Saenggok-dong,강서구,생곡동,생곡동,35.132,128.879,35.132225,128.879347
26440113,Gurang-dong,강서구,구랑동,구랑동,35.127,128.854,35.127437,128.854215
26440114,Jisa-dong,강서구,지사동,지사동,35.146,128.825,35.145918,128.824875
26440115,Mieum-dong,강서구,미음동,미음동,35.153,128.859,35.152832,128.859185
