영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액,세계흥행지수,국내흥행지수,유형
배트맨 대 슈퍼맨: 저스티스의 시작,Action Adventure Sci-Fi,2016,2256913,1709,워너브러더스코리아(주),250000000.0,16348379.0,874362803,132.57669683896495,1.869747768764587,C (글로벌 의존)
레디 플레이어 원,Action Adventure Sci-Fi,2018,2254430,1079,워너브러더스코리아(주),175000000.0,18118372.0,607874422,92.16995815140486,2.9806110183724757,C (글로벌 의존)
위키드,Fantasy Musical Romance,2024,2244536,1803,유니버설픽쳐스인터내셔널코리아(유),,16259458.0,756226570,114.66409637792003,2.150077588519536,C (글로벌 의존)
배틀쉽,Action Adventure Sci-Fi Thriller,2012,2241687,736,유니버설픽쳐스인터내셔널코리아(유),209000000.0,12135423.0,303025485,45.94673712271966,4.004753263574514,D (상대적 저성과)
매트릭스3 레볼루션,Action Sci-Fi,2003,2240000,112,워너브러더스코리아(주),150000000.0,11976955.208781224,427344325,64.79678552997309,2.802647539260343,D (상대적 저성과)
셜록홈즈 : 그림자 게임,Action Adventure Mystery,2011,2239156,370,워너브러더스코리아(주),,15153172.0,543848418,82.46191008143411,2.7862859389617642,D (상대적 저성과)
어거스트 러쉬,Drama Music,2007,2218573,68,(주)영화사그램 씨제이엔터테인먼트 워너브러더스코리아(주),,12979486.0,66122026,10.025860850098582,19.62959513672494,B (국내 특화)
나는 전설이다,Drama Horror Sci-Fi Thriller,2007,2215883,127,워너브러더스코리아(주),150000000.0,17202365.0,585410052,88.7637611346176,2.938515480086085,C (글로벌 의존)
포세이돈,Action Adventure Thriller,2006,2214600,89,워너브러더스코리아(주),160000000.0,14093621.0,181674817,27.546742672541885,7.757608474706761,B (국내 특화)
셜록 홈즈,Action Adventure Mystery,2009,2207751,377,워너브러더스코리아(주),90000000.0,14014763.0,524028679,79.45670958592491,2.6744267177789327,D (상대적 저성과)
007 퀀텀 오브 솔러스,Action Adventure Mystery Thriller,2008,2201300,518,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,12703204.0,589593688,89.39811181805648,2.154569198848004,C (글로벌 의존)
이상한 나라의 앨리스,Adventure Family Fantasy Mystery,2010,2182365,401,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,18779996.0,1025468216,155.48830339552566,1.8313581744399965,C (글로벌 의존)
맨 오브 스틸,Action Adventure Sci-Fi,2013,2182227,998,워너브러더스코리아(주),225000000.0,15536798.0,670145518,101.61191541204794,2.3184215342316143,C (글로벌 의존)
로건,Action Drama Sci-Fi Thriller,2017,2169109,954,월트디즈니컴퍼니코리아유한책임회사 이십세기폭스코리아(주),97000000.0,16716714.0,619180476,93.88425716831188,2.6998128409979127,C (글로벌 의존)
원더 우먼,Action Adventure Fantasy Sci-Fi War,2017,2165401,1034,워너브러더스코리아(주),149000000.0,15878226.0,823970682,124.93590868333084,1.9270377389471243,C (글로벌 의존)
극장판 귀멸의 칼날: 무한열차편,Action Adventure Animation Fantasy Thriller,2021,2151861,380,(주)넥스트엔터테인먼트월드(NEW) 워터홀컴퍼니(주),,17861441.0,485541995,73.62110287953459,3.67866038034465,D (상대적 저성과)
겟 아웃,Horror Mystery Thriller,2017,2138146,945,유니버설픽쳐스인터내셔널코리아(유),4500000.0,15844577.0,255751443,38.778732819377296,6.195303070098416,B (국내 특화)
베놈 2: 렛 데어 비 카니지,Action Sci-Fi Thriller,2021,2123652,1998,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,18259553.0,506813864,76.84648497256855,3.6028124518708906,D (상대적 저성과)
블랙 팬서: 와칸다 포에버,Action Adventure Drama Sci-Fi,2022,2105831,2571,월트디즈니컴퍼니코리아유한책임회사,,19633906.0,859208836,130.27895169018524,2.2851145352979123,C (글로벌 의존)
이클립스,Action Adventure Drama Fantasy Mystery Romance Thriller,2010,2105050,535,(주)넥스트엔터테인먼트월드(NEW),68000000.0,13809393.0,698513085,105.91319437464125,1.9769698372937423,C (글로벌 의존)
엑스맨 : 최후의 전쟁,Action Adventure Sci-Fi,2006,2096180,112,이십세기폭스코리아(주),210000000.0,12406569.0,460435291,69.81425762786893,2.6945304242545562,D (상대적 저성과)
논스톱,Action Mystery Thriller,2014,2084457,582,(주)넥스트엔터테인먼트월드(NEW),50000000.0,14205911.0,222809600,33.78387174140921,6.375807415838456,B (국내 특화)
장화신은 고양이,Action Adventure Animation Comedy Family Fantasy,2012,2080154,593,(주)씨제이이엔엠,130000000.0,12909397.0,554987477,84.15088820704445,2.3260699628362964,D (상대적 저성과)
인투 더 스톰,Action Adventure Drama Thriller,2014,2078492,585,워너브러더스코리아(주),50000000.0,14285274.0,161515959,24.490122701385882,8.844496908197165,B (국내 특화)
본 얼티메이텀,Action Mystery Thriller,2007,2052800,69,유니버설픽쳐스인터내셔널코리아(유),110000000.0,9280901.0,442824138,67.14393761396317,2.0958435197134624,D (상대적 저성과)
혹성탈출: 종의 전쟁,Action Adventure Drama Sci-Fi Thriller,2017,2051315,1017,이십세기폭스코리아(주),150000000.0,15320029.0,490719763,74.40619046112342,3.1219506845091134,D (상대적 저성과)
소울,Adventure Animation Comedy Drama Family Fantasy Music,2021,2048137,2018,월트디즈니컴퍼니코리아유한책임회사,,16458991.0,121977511,18.495040550139358,13.493463561492085,B (국내 특화)
